campaign_number,make,model,year,component,summary
20V771000,Honda,Accord,2020,ELECTRICAL SYSTEM:BODY CONTROL MODULE:SOFTWARE,"Honda (American Honda Motor Co.) is recalling certain 2018-2020 Accord Sedan, Accord Hybrid, and 2019-2020 Insight vehicles.  A software error may cause intermittent or continuous disruptions in communication between the Body Control Module (BCM) and other components.  This may result in malfunctions of various systems such as the windshield wipers and defroster, rearview camera, exterior lights, audible warning of a stopped vehicle, and power window operation.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 103, ""Windshield Defrosting and Defogging Systems"" and number 111, ""Rear Visibility"" as well as FMVSS numbers 104, 108, 114, 118, and 305."
21V215000,Honda,Accord,2020,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Honda (American Honda Motor Co.) is recalling certain 2019-2020 Acura MDX, MDX Sport Hybrid, RDX, TLX, Honda Accord, Civic Hatchback, Insight, 2019 Acura ILX, Honda Accord Hybrid, Civic Coupe, Civic Coupe Si, Civic Sedan, Civic Sedan Si, Civic Type R, Fit, HR-V, Odyssey, Passport, Pilot and Ridgeline, and 2018-2019 CR-V vehicles.  The low-pressure fuel pump inside the fuel tank may fail."
23V858000,Honda,Accord,2020,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Honda (American Honda Motor Co.) is recalling certain 2013-2023 Honda Accord, Civic Coupe, Civic Sedan, Civic Hatchback, Civic Type R, CR-V, HR-V, Ridgeline, Odyssey, Acura ILX, MDX, MDX Hybrid, RDX, RLX, TLX, 2019-2022 Honda Insight, Passport, 2020 Honda CR-V Hybrid, 2018-2019 Honda Clarity PHEV, Fit, and 2015-2020 Honda Accord Hybrid, Pilot, Acura NSX vehicles.  The fuel pump inside the fuel tank may fail."
24V064000,Honda,Accord,2020,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,"Honda (American Honda Motor Co.) is recalling certain 2020-2022 Pilot, Accord, Civic sedan, HR-V, Odyssey, 2020 Civic coupe, Fit, 2021-2022 Civic hatchback, 2021 Civic Type R, Insight, 2020-2021 CR-V, CR-V Hybrid, Passport, Ridgeline, Accord Hybrid, 2020 Acura MDX, 2022 Acura MDX, 2020-2022 Acura RDX, and 2020-2021 Acura TLX vehicles.  The front passenger seat weight sensor may crack and short circuit, failing to suppress the air bag as intended."
20V097000,Ford,F-150,2018,EXTERIOR LIGHTING:HEADLIGHTS,"Ford Motor Company (Ford) is recalling certain 2018-2020 F-150 trucks equipped with high series LED headlamps with Autolamp (On/Off) functionality.  The Daytime Running Lamps (DRL) may remain activated instead of dimming to parking lamps when the Master Lighting Switch (MLS) is manually rotated from the ""Autolamps"" switch position to ""Headlamps On."" As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices and Associated Equipment."""
21V983000,Ford,F-150,2018,LATCHES/LOCKS/LINKAGES:TAILGATE:LATCH,Ford Motor Company (Ford) is recalling certain 2018 F-150 vehicles with manual and power release tailgates.  The tailgate latches may unlatch unexpectedly while driving.
21V155000,Ford,F-150,2018,TIRES,"Ford Motor Company (Ford) is recalling certain 2018 F-150, 2018-2020 F-250, F-350, and 2019 Escape vehicles equipped with Continental tires.  On the affected vehicles, it is possible that one or more tires were cured for too long during tire production."
21E027000,Ford,F-150,2018,SUSPENSION:FRONT:CONTROL ARM:UPPER BALL JOINT,"Tenneco Automotive (DRiV) is recalling certain MOOG K500359 ball joints, for aftermarket installation on 2015-2018 Ford F-150 trucks.  The ball joint may have a misaligned dust boot and may be missing alignment hole and installation warning tag, which may lead to improper alignment of the ball joint."
18V894000,Ford,F-150,2018,ENGINE,"Ford Motor Company (Ford) is recalling certain 2015-2019 Ford F-150 and 2017-2019 Ford F-250 Super Duty, F-350 Super Duty, F-450 Super Duty, and F-550 Super Duty pick-up trucks equipped with an engine block heater.   Water and contaminants may get into the block heater cable's splice connector causing corrosion and damage."
18V392000,Ford,F-150,2018,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Ford Motor Company (Ford) is recalling certain 2018 Ford Expedition, F-150, and Lincoln Navigator vehicles equipped with 3.5L GTDI V6 engines.  These vehicles have high pressure fuel pump assemblies with welds that can fracture, which may cause an oil or fuel leak."
19V633000,Ford,F-150,2018,SEATS:FRONT ASSEMBLY:RECLINER,"Ford Motor Company (Ford) is recalling certain 2018-2020 F-150 and 2019-2020 F-250, F-350, F-450, and F-550 Super Duty pickup trucks, and 2018-2019 Ford Explorer, 2019-2020 Expedition, and 2020 Escape vehicles equipped with driver and/or passenger's manual front seat back recliner mechanisms.  Also included are certain 2020 Ford Explorer and Lincoln Aviator vehicles equipped with rear outboard seats and manual seat back recliner mechanisms.  The recliner mechanisms may be missing the third pawl required for seat back strength, resulting in a loose seat back.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) numbers 202, ""Head Restraints"" and 207, ""Seating Systems."""
19V278000,Ford,F-150,2018,ENGINE,"Ford Motor Company (Ford) is recalling certain 2015-2019 Ford F-150 and 2017-2019 Ford F-250 Super Duty, F-350 Super Duty, F-450 Super Duty, and F-550 Super Duty pick-up trucks equipped with an engine block heater and previously remedied under recall 18V894.   During the previous repair, the block heater cable's splice connector may have been damaged."
18V568000,Ford,F-150,2018,SEAT BELTS:PRETENSIONER,"Ford Motor Company (Ford) is recalling certain 2015-2018 Ford F-150 Regular Cab and SuperCrew Cab vehicles.  If a front seat belt pretensioner deploys as the result of a crash, the sparks may ignite materials such as carpeting or insulation within the B-pillar area."
18V213000,Ford,F-150,2018,POWER TRAIN:AUTOMATIC TRANSMISSION,"Ford Motor Company (Ford) is recalling certain 2017-2018 Ford F-150 and 2018 Ford Expedition and Mustang and Lincoln Navigator vehicles equipped with 10-speed automatic transmissions.  A roll pin may not have been installed in the transmission, potentially causing a loss of the ""Park"" function."
18V214000,Ford,F-150,2018,POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL),"Ford Motor Company (Ford) is recalling certain 2018 F-650 and F-750 vehicles equipped with 6-speed automatic transmissions and 2018 Ford F-150 and Expedition vehicles equipped with 10-speed automatic transmissions (excluding Expedition vehicles with
a Rotary Gear Shift Dial on the console).  The gear shift cable clip may not be properly seated, allowing the transmission to be in a different gear than indicated by the gear shift lever position."
17V672000,Ford,F-150,2018,ENGINE,Ford Motor Company (Ford) is recalling certain 2018 F-150 vehicles equipped with 3.5L engines.  The cylinder heads may have been machined without lubrication supply holes for the camshaft bearing journals.
17V669000,Ford,F-150,2018,POWER TRAIN:AUTOMATIC TRANSMISSION:LEVER AND LINKAGE:COLUMN SHIFT,"Ford Motor Company (Ford) is recalling certain 2018 F-150 vehicles equipped with a 3.3L engine, a 6-speed transmission and a column mounted shift lever.  Quickly moving the shift lever from Park to Drive may cause a loss of gear indication on the instrument cluster display and a momentary selection of an unintended gear, such as Reverse or Neutral before the vehicle achieves Drive function."
17V598000,Ford,F-150,2018,STRUCTURE:BODY:ROOF AND PILLARS,"Ford Motor Company (Ford) is recalling certain 2018 Ford F-150 Raptor Super Cab pick-up trucks not equipped with a moonroof.  The structural roof braces may be missing rivets at the attachment of the roof rail, thereby reducing the structural integrity."
22V150000,Ford,F-150,2018,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST","Ford Motor Company (Ford) is recalling certain 2016-2017 Ford Expedition, Lincoln Navigator, and 2016-2018 F-150 vehicles equipped with 3.5L Ecoboost engines.  The brake master cylinder may allow brake fluid to leak from the front wheel circuit into the brake booster."
24V852000,Ford,F-150,2018,EQUIPMENT:OTHER:LABELS,"Ford Motor Company (Ford) is recalling certain 2020-2025 Explorer, Lincoln Aviator, 2020-2024 Escape, Lincoln Corsair, 2018-2024 F-150, Expedition and Lincoln Navigator vehicles.  The air bag warning label may be missing from the dashboard.  As such, these vehicles fail to comply with the requirement Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
25V236000,Ford,F-150,2018,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER","Ford Motor Company (Ford) is recalling certain 2017-2018 F-150, Expedition, and Lincoln Navigator vehicles.  The brake master cylinder may allow brake fluid to leak from the front wheel circuit into the brake booster."
18E035000,Ford,Mustang,2018,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER,"Roush Performance Products, Inc. (Roush) is recalling certain aftermarket supercharger kits, part number R1318-6006P1-AA, sold for installation on 2018 Ford Mustangs.  The hose barb fittings on the supercharger kits may be manufactured incorrectly, possibly causing damage to the fuel lines and resulting in a fuel leak."
17V814000,Ford,Mustang,2018,ELECTRICAL SYSTEM:SOFTWARE,"Ford Motor Company is recalling certain 2018 Ford Mustang vehicles equipped with an automatic transmission and a 12.4"" digital instrument cluster.  If the ignition is turned off when the transmission is not in PARK, the instrument cluster may not illuminate the PRNDL gear position display and the operator may not receive the ""Key in Ignition"" chime when the driver's door is opened.  As such, these vehicles fails to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 102, ""Transmission Shift Lever Sequence/Starter Interlock/Transmission Braking Effect,"" and number 114, ""Theft Protection."""
18V213000,Ford,Mustang,2018,POWER TRAIN:AUTOMATIC TRANSMISSION,"Ford Motor Company (Ford) is recalling certain 2017-2018 Ford F-150 and 2018 Ford Expedition and Mustang and Lincoln Navigator vehicles equipped with 10-speed automatic transmissions.  A roll pin may not have been installed in the transmission, potentially causing a loss of the ""Park"" function."
25V572000,Ford,Mustang,2018,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Ford Motor Company (Ford) is recalling certain 2015-2019 Lincoln MKC, Mustang, F-350 SD, F-250 SD, F-450 SD, 2015-2017 Lincoln Navigator, Expedition, 2015-2018 Edge, Transit Connect, 2016-2019 F-550 SD, Transit, 2017-2019 Econoline, and 2019 Ranger vehicles. The rearview camera may display a distorted, inverted, or blank image when the vehicle is in reverse."
